client,client_type,task_type,priority,task_text
Client_8,Growth,Requested change,Urgent,The client requested a specific change. Issue related to 'error'.
Client_7,Retention,Copy revision,High,Review and correct the client's text. Issue related to 'not visible'.
Client_2,Growth,Design issue,High,There is a design problem that needs to be fixed. Issue related to 'does not work'.
Client_36,Growth,New item,High,A new resource needs to be created from scratch. Issue related to 'blocks'.
Client_1,Neutral,Design issue,Normal,There is a design problem that needs to be fixed. Issue related to 'align'.
Client_18,Growth,Requested change,Urgent,The client requested a specific change. Issue related to 'does not respond'.
Client_7,Retention,Requested change,Normal,The client requested a specific change. Issue related to 'relocate'.
Client_30,Retention,New item,Urgent,A new resource needs to be created from scratch. Issue related to 'cuts off'.
Client_40,Neutral,Requested change,Normal,The client requested a specific change. Issue related to 'change location'.
Client_3,Retention,Requested change,Low,The client requested a specific change. Issue related to 'text style'.
Client_15,Neutral,New item,High,A new resource needs to be created from scratch. Issue related to 'does not allow to continue'.
Client_11,Retention,Design issue,Normal,There is a design problem that needs to be fixed. Issue related to 'change location'.
Client_39,Retention,Design issue,Urgent,There is a design problem that needs to be fixed. Issue related to 'does not respond'.
Client_18,Neutral,Design issue,Normal,There is a design problem that needs to be fixed. Issue related to 'relocate'.
Client_15,Neutral,Requested change,Normal,The client requested a specific change. Issue related to 'change location'.
Client_14,Neutral,Requested change,High,The client requested a specific change. Issue related to 'urgent'.
Client_26,Neutral,New item,High,A new resource needs to be created from scratch. Issue related to 'error'.
Client_16,Neutral,Requested change,Low,The client requested a specific change. Issue related to 'remove phrase'.
Client_38,Retention,Design issue,Low,There is a design problem that needs to be fixed. Issue related to 'tone'.
Client_33,Retention,Copy revision,Normal,Review and correct the client's text. Issue related to 'update'.
Client_11,Neutral,New item,Normal,A new resource needs to be created from scratch. Issue related to 'change color'.
Client_25,Retention,New item,High,A new resource needs to be created from scratch. Issue related to 'does not work'.
Client_8,Retention,Requested change,Normal,The client requested a specific change. Issue related to 'align'.
Client_8,Growth,Design issue,High,There is a design problem that needs to be fixed. Issue related to 'blocks'.
Client_33,Neutral,Copy revision,Low,Review and correct the client's text. Issue related to 'simplify'.
Client_33,Retention,Design issue,High,There is a design problem that needs to be fixed. Issue related to 'bug'.
Client_35,Neutral,Copy revision,Normal,Review and correct the client's text. Issue related to 'reorder'.
Client_2,Growth,Requested change,Normal,The client requested a specific change. Issue related to 'delete'.
Client_16,Growth,Copy revision,Urgent,Review and correct the client's text. Issue related to 'urgent'.
Client_5,Neutral,Design issue,High,There is a design problem that needs to be fixed. Issue related to 'urgent'.
Client_36,Growth,New item,Low,A new resource needs to be created from scratch. Issue related to 'copy'.
Client_13,Neutral,New item,Low,A new resource needs to be created from scratch. Issue related to 'fix style'.
Client_24,Retention,New item,Urgent,A new resource needs to be created from scratch. Issue related to 'misconfigured'.
Client_5,Retention,Design issue,High,There is a design problem that needs to be fixed. Issue related to 'does not work'.
Client_5,Neutral,Copy revision,High,Review and correct the client's text. Issue related to 'not visible'.
Client_22,Growth,Design issue,Urgent,There is a design problem that needs to be fixed. Issue related to 'urgent'.
Client_14,Retention,New item,High,A new resource needs to be created from scratch. Issue related to 'urgent'.
Client_27,Growth,Copy revision,Normal,Review and correct the client's text. Issue related to 'center'.
Client_28,Retention,Copy revision,Normal,Review and correct the client's text. Issue related to 'replace'.
Client_4,Retention,Requested change,Normal,The client requested a specific change. Issue related to 'replace'.
Client_16,Growth,New item,High,A new resource needs to be created from scratch. Issue related to 'bug'.
Client_18,Retention,Copy revision,High,Review and correct the client's text. Issue related to 'does not load'.
Client_4,Retention,Copy revision,Low,Review and correct the client's text. Issue related to 'content adjustment'.
Client_16,Growth,New item,Normal,A new resource needs to be created from scratch. Issue related to 'change color'.
