cliente,tipo_cliente,tipo_tarea,prioridad,texto_tarea
Cliente_8,Crecer,Requested change,Urgente,El cliente solicitó un cambio específico. Esto es muy urgente. Necesitamos resolverlo hoy.
Cliente_9,Neutro,Copy revision,Normal,Revisar y corregir el texto del cliente. Se puede hacer durante la semana.
Cliente_3,Crecer,Design issue,Urgente,Hay un problema con el diseño que debe resolverse. Esto es muy urgente. Necesitamos resolverlo hoy.
Cliente_39,Crecer,Design issue,Normal,Hay un problema con el diseño que debe resolverse. Se puede hacer durante la semana.
Cliente_35,Retención,New item,Alta,"Se necesita crear un nuevo recurso desde cero. Por favor, dale prioridad a esto."
Cliente_1,Neutro,Design issue,Normal,Hay un problema con el diseño que debe resolverse. Se puede hacer durante la semana.
Cliente_22,Crecer,Design issue,Baja,"Hay un problema con el diseño que debe resolverse. No es prioritario, puede esperar unos días."
Cliente_22,Crecer,New item,Urgente,Se necesita crear un nuevo recurso desde cero. Esto es muy urgente. Necesitamos resolverlo hoy.
Cliente_23,Retención,Copy revision,Normal,Revisar y corregir el texto del cliente. Se puede hacer durante la semana.
Cliente_35,Crecer,New item,Urgente,Se necesita crear un nuevo recurso desde cero. Esto es muy urgente. Necesitamos resolverlo hoy.
Cliente_19,Neutro,Requested change,Normal,El cliente solicitó un cambio específico. Se puede hacer durante la semana.
Cliente_5,Crecer,Design issue,Normal,Hay un problema con el diseño que debe resolverse. Se puede hacer durante la semana.
Cliente_6,Neutro,Copy revision,Normal,Revisar y corregir el texto del cliente. Se puede hacer durante la semana.
Cliente_30,Retención,Requested change,Urgente,El cliente solicitó un cambio específico. Esto es muy urgente. Necesitamos resolverlo hoy.
Cliente_23,Crecer,Requested change,Normal,El cliente solicitó un cambio específico. Se puede hacer durante la semana.
Cliente_5,Retención,Design issue,Alta,"Hay un problema con el diseño que debe resolverse. Por favor, dale prioridad a esto."
Cliente_16,Crecer,New item,Alta,"Se necesita crear un nuevo recurso desde cero. Por favor, dale prioridad a esto."
Cliente_36,Crecer,Requested change,Normal,El cliente solicitó un cambio específico. Se puede hacer durante la semana.
Cliente_4,Crecer,Copy revision,Baja,"Revisar y corregir el texto del cliente. No es prioritario, puede esperar unos días."
Cliente_26,Crecer,Design issue,Baja,"Hay un problema con el diseño que debe resolverse. No es prioritario, puede esperar unos días."
Cliente_37,Neutro,Requested change,Alta,"El cliente solicitó un cambio específico. Por favor, dale prioridad a esto."
Cliente_32,Retención,New item,Urgente,Se necesita crear un nuevo recurso desde cero. Esto es muy urgente. Necesitamos resolverlo hoy.
Cliente_9,Crecer,Requested change,Normal,El cliente solicitó un cambio específico. Se puede hacer durante la semana.
Cliente_28,Neutro,New item,Normal,Se necesita crear un nuevo recurso desde cero. Se puede hacer durante la semana.
Cliente_9,Retención,Copy revision,Normal,Revisar y corregir el texto del cliente. Se puede hacer durante la semana.
Cliente_8,Crecer,Design issue,Normal,Hay un problema con el diseño que debe resolverse. Se puede hacer durante la semana.
Cliente_28,Retención,New item,Alta,"Se necesita crear un nuevo recurso desde cero. Por favor, dale prioridad a esto."
Cliente_30,Retención,Copy revision,Normal,Revisar y corregir el texto del cliente. Se puede hacer durante la semana.
Cliente_8,Retención,Requested change,Normal,El cliente solicitó un cambio específico. Se puede hacer durante la semana.
Cliente_22,Crecer,New item,Alta,"Se necesita crear un nuevo recurso desde cero. Por favor, dale prioridad a esto."
Cliente_1,Neutro,Requested change,Baja,"El cliente solicitó un cambio específico. No es prioritario, puede esperar unos días."
Cliente_12,Retención,Copy revision,Normal,Revisar y corregir el texto del cliente. Se puede hacer durante la semana.
Cliente_20,Neutro,Design issue,Alta,"Hay un problema con el diseño que debe resolverse. Por favor, dale prioridad a esto."
Cliente_11,Retención,Copy revision,Alta,"Revisar y corregir el texto del cliente. Por favor, dale prioridad a esto."
Cliente_32,Crecer,Requested change,Normal,El cliente solicitó un cambio específico. Se puede hacer durante la semana.
Cliente_20,Crecer,Design issue,Normal,Hay un problema con el diseño que debe resolverse. Se puede hacer durante la semana.
Cliente_6,Crecer,New item,Baja,"Se necesita crear un nuevo recurso desde cero. No es prioritario, puede esperar unos días."
Cliente_35,Neutro,Design issue,Normal,Hay un problema con el diseño que debe resolverse. Se puede hacer durante la semana.
Cliente_36,Crecer,New item,Baja,"Se necesita crear un nuevo recurso desde cero. No es prioritario, puede esperar unos días."
Cliente_35,Neutro,Design issue,Baja,"Hay un problema con el diseño que debe resolverse. No es prioritario, puede esperar unos días."
Cliente_26,Neutro,Requested change,Normal,El cliente solicitó un cambio específico. Se puede hacer durante la semana.
Cliente_34,Retención,Design issue,Alta,"Hay un problema con el diseño que debe resolverse. Por favor, dale prioridad a esto."
Cliente_22,Crecer,Design issue,Alta,"Hay un problema con el diseño que debe resolverse. Por favor, dale prioridad a esto."
Cliente_1,Crecer,Copy revision,Alta,"Revisar y corregir el texto del cliente. Por favor, dale prioridad a esto."
Cliente_3,Neutro,Copy revision,Normal,Revisar y corregir el texto del cliente. Se puede hacer durante la semana.
Cliente_18,Retención,Design issue,Alta,"Hay un problema con el diseño que debe resolverse. Por favor, dale prioridad a esto."
Cliente_37,Retención,Design issue,Normal,Hay un problema con el diseño que debe resolverse. Se puede hacer durante la semana.
Cliente_27,Crecer,Copy revision,Normal,Revisar y corregir el texto del cliente. Se puede hacer durante la semana.
Cliente_23,Retención,New item,Normal,Se necesita crear un nuevo recurso desde cero. Se puede hacer durante la semana.
